Unique_ID,BANK_TYPE,COMPARISON_TYPE,BANK_NAME_ABBR,SNL_INSTITUTE_ID,YEAR_QUARTER,REG_COMPANY_NAME,REG_SNL_INSTN_KEY,REG_STATE,REG_LLR_TO_GROSS_LOAN,REG_RESV_TO_NPA,HIGH_RISK_RE_LOAN_TO_DOM_LOAN,REG_NCO_TO_AVG_LOAN,REG_LLP_TO_NCO,RESV_TO_ADJ_NPL,PD_NACCR_RESTRUCT_FRCLSD_TO_LOAN_FRCLSD,TOTAL_NCL_TO_LOAN,TOTAL_NCL_TO_ASSETS,TOTAL_NONCURRENT_ASSETS_TO_ASSETS,REG_LLR_TO_GROSS_LOAN,NCO_TO_AVG_LOAN_CU,NET_CREDIT_CARD_CHRG_OFF_TO_AVG_CREDIT_CARD_LOAN,OREO_TO_ASSETS_AQ,REG_EQUITY_RESV_TO_ASSETS,REG_NPL_TO_LOAN,NPA_TO_LOAN,LOAN_LEASES_HFS,TOTAL_LOAN_LEASES_EXCL_HFS,TOTAL_RESV,REG_TOTAL_ASSETS,TOTAL_DEP_INCL_DOM_FRGN,TOTAL_LOAN_LEASES_CHRG_OFF,LLR_LOAN_LOSS_RES_BEGIN_PERIOD,LLR_CHANGES_MERGERS,LLR_OTHER_ADJ,LLR_BAL_AT_END_PREV_YR,TOTAL_LOAN_LEASES_RECOV,LLR_TOTAL_CHRG_OFF_BHC,PROV_FOR_LOAN_LEASE_LOSS,LN_AND_LS_HFI_AMORT_COST_RE_CONST_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_RES_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_LOAN,LN_AND_LS_HFI_AMORT_COST_CREDIT_CARD,LN_AND_LS_HFI_AMORT_COST_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_AMORT_COST_TOTAL,LN_AND_LS_HFI_ALLOWANCE_RE_CONST_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_RES_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_LOAN,LN_AND_LS_HFI_ALLOWANCE_CREDIT_CARD,LN_AND_LS_HFI_ALLOWANCE_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_ALLOWANCE_UNALLOCATED,LN_AND_LS_HFI_ALLOWANCE_TOTAL,latitude,longitude
100438-1991Q1,Peer,Peer,BB&T / Truist Financial Corporation,TFC,1991Q1,Truist Financial Corporation,100438,NC,,41.94,,0.71,138.05,,,,,,,,,,,,,0,2225156,28317,3424620,2820884,4408,26810,0,0,26810,447,4408,5468,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-1991Q1,Non-Peer,Non-Peer,BNY Mellon,100144,1991Q1,The Bank of New York Mellon Corporation,100144,NY,,66.82,,1.55,272.77,,,,,,,,,,,,,0,29487433,1233995,39436485,31663294,132304,1037148,0,-20502,1016646,6498,132304,343155,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-1991Q1,Non-Peer,Non-Peer,Capital One,103239,1991Q1,Capital One Financial Corporation,103239,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-1991Q1,Mega-Bank,Mega-Bank,Citigroup,4041896,1991Q1,Citigroup Inc.,4041896,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-1991Q1,Peer,Peer,CITIZENS,1019881,1991Q1,"Citizens Financial Group, Inc.",1019881,RI,,67.84,,0.64,90,,,,,,,,,,,,,37272,2639379,41346,3751463,3055423,4642,41784,0,0,41784,260,4642,3944,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-1991Q1,Peer,Peer,COMERICA,100206,1991Q1,Comerica Incorporated,100206,TX,,95.86,,0.51,115.1,,,,,,,,,,,,,77406,8671925,116000,13607806,11005820,15522,107500,500,6348,114348,4578,15522,12596,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-1991Q1,Peer,Close-Peer,FIFTH THIRD,FITB,1991Q1,Fifth Third Bancorp,100260,OH,,77.08,,0.97,108.53,,,,,,,,,,,,,0,5556026,86135,8046600,6275257,14590,85025,0,0,85025,1577,14590,14123,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-1991Q1,Non-Peer,Non-Peer,Goldman Sachs,4039450,1991Q1,"The Goldman Sachs Group, Inc.",4039450,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-1991Q1,Peer,Close-Peer,Huntington,100307,1991Q1,Huntington Bancshares Incorporated,100307,OH,,58.43,,0.61,149.35,,,,,,,,,,,,,0,7540604,120939,11655888,9078455,14028,115223,0,0,115223,2445,14028,17299,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-1991Q1,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,1991Q1,JPMorgan Chase & Co.,100201,NY,,39.86,,1.4,85.44,,,,,,,,,,,,,13000,45032000,2066000,72489000,48287000,183000,2090000,0,0,2090000,25000,183000,135000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-1991Q1,Peer,Close-Peer,KEY,KEY,1991Q1,KeyCorp,100334,OH,,84.94,,0.75,107.59,,,,,,,,,,,,,31709,9908923,180002,15409534,11696794,25965,178710,-131,0,178579,7224,25965,20164,,,,,,,,,,,,,,,,40.417287,-82.907123
100253-1991Q1,Peer,Close-Peer,M&T BANK,MTB,1991Q1,M&T Bank Corporation,100253,NY,,119.91,,0.45,179.02,,,,,,,,,,,,,112349,5256358,79723,7390762,6033774,6762,74982,0,0,74982,762,6762,10741,,,,,,,,,,,,,,,,43.299428,-74.217933
103042-1991Q1,Non-Peer,Non-Peer,Morgan Stanley,103042,1991Q1,Morgan Stanley,103042,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-1991Q1,Peer,Peer,PNC,PNC,1991Q1,"The PNC Financial Services Group, Inc.",100406,PA,,63.15,,1.26,113.73,,,,,,,,,,,,,125437,28571493,801855,44545772,32442301,105561,784407,5000,0,789407,14901,105561,103108,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-1991Q1,Peer,Close-Peer,REGIONS,RF,1991Q1,Regions Financial Corporation,100233,AL,,105.64,,0.24,213.1,,,,,,,,,,,,,114727,4021719,47825,6355760,5409961,4256,44984,0,0,44984,1744,4256,5353,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-1991Q1,Non-Peer,Non-Peer,State Street,100447,1991Q1,State Street Corporation,100447,MA,,82.22,,2.58,110.26,,,,,,,,,,,,,0,2149199,52411,10943967,7010882,14180,50975,0,0,50975,179,14180,15437,,,,,,,,,,,,,,,,42.407211,-71.382437
